,image,label
0,trash12,1
1,trash78,1
2,trash68,1
3,trash79,1
4,trash61,1
5,trash134,1
6,trash40,1
7,trash30,1
8,trash26,1
9,trash21,1
10,trash44,1
11,trash63,1
12,trash20,1
13,trash126,1
14,trash55,1
15,trash131,1
16,trash77,1
17,trash110,1
18,trash100,1
19,trash18,1
20,trash36,1
21,trash103,1
22,trash119,1
23,trash8,1
24,trash98,1
25,trash50,1
26,trash52,1
27,trash133,1
28,trash11,1
29,trash10,1
30,trash99,1
31,trash41,1
32,trash104,1
33,trash49,1
34,trash101,1
35,trash85,1
36,trash117,1
37,trash34,1
38,trash73,1
39,trash6,1
40,trash65,1
41,trash17,1
42,trash27,1
43,trash29,1
44,trash95,1
45,trash53,1
46,trash123,1
47,trash88,1
48,trash43,1
49,trash87,1
50,trash7,1
51,trash46,1
52,trash96,1
53,trash56,1
54,trash75,1
55,trash83,1
56,trash114,1
57,trash93,1
58,trash15,1
59,trash84,1
60,trash2,1
61,trash32,1
62,trash39,1
63,trash89,1
64,trash58,1
65,trash59,1
66,trash3,1
67,trash5,1
68,trash66,1
69,trash13,1
70,trash38,1
71,trash136,1
72,trash69,1
73,trash48,1
74,trash132,1
75,trash76,1
76,trash111,1
77,trash16,1
78,trash19,1
79,trash51,1
80,trash33,1
81,trash31,1
82,trash118,1
83,trash35,1
84,trash71,1
85,trash72,1
86,trash120,1
87,trash113,1
88,trash97,1
89,trash129,1
90,trash14,1
91,trash106,1
92,trash60,1
93,trash137,1
94,trash47,1
95,trash1,1
96,trash102,1
97,trash70,1
98,trash57,1
99,trash135,1
100,trash82,1
101,trash4,1
102,trash80,1
103,trash67,1
104,trash112,1
105,trash92,1
106,trash105,1
107,trash23,1
108,trash127,1
109,trash130,1
110,trash116,1
111,trash124,1
112,trash28,1
113,trash125,1
114,trash108,1
115,trash62,1
116,trash107,1
117,trash22,1
118,trash45,1
119,trash128,1
120,trash115,1
121,trash122,1
122,trash121,1
123,trash37,1
124,trash81,1
125,trash64,1
126,trash94,1
127,trash90,1
128,trash109,1
129,trash42,1
130,trash91,1
131,trash25,1
132,trash24,1
133,trash54,1
134,trash86,1
135,trash74,1
136,trash9,1
137,metal77,1
138,metal289,1
139,metal3,1
140,metal215,1
141,metal282,1
142,metal381,1
143,metal372,1
144,metal78,1
145,metal51,1
146,metal109,1
147,metal67,1
148,metal354,1
