,image,label
0,38,1
1,52,1
2,81,1
3,104,1
4,152,1
5,153,1
6,168,1
7,190,1
8,221,1
9,222,1
10,307,1
11,332,1
12,365,1
13,403,1
14,414,1
15,416,1
16,427,1
17,435,1
18,445,1
19,504,1
20,514,1
21,519,1
22,526,1
23,537,1
24,555,1
25,605,1
26,608,1
27,672,1
28,691,1
29,719,1
30,738,1
31,753,1
32,769,1
33,775,1
34,818,1
35,820,1
36,907,1
37,916,1
38,954,1
39,956,1
40,957,1
41,976,1
42,988,1
43,1012,1
44,1079,1
45,1113,1
46,1120,1
47,1156,1
48,1158,1
49,1159,1
50,1192,1
51,1195,1
52,1237,1
53,1275,1
54,1299,1
55,1356,1
56,1404,1
57,1406,1
58,1412,1
59,1417,1
60,1420,1
61,1450,1
62,1472,1
63,1478,1
64,1562,1
65,1564,1
66,1570,1
67,1623,1
68,1624,1
69,1638,1
70,1639,1
71,1642,1
72,1670,1
73,1674,1
74,1676,1
75,1709,1
76,1713,1
77,1733,1
78,1747,1
79,1748,1
80,1761,1
81,1789,1
82,1793,1
83,1803,1
84,1829,1
85,1862,1
86,1865,1
87,1869,1
88,1873,1
89,1884,1
90,1887,1
91,1893,1
92,1902,1
93,1933,1
94,1937,1
95,1945,1
96,1982,1
97,2040,1
98,2053,1
99,2096,1
100,2101,1
101,2116,1
102,2123,1
103,2141,1
104,2198,1
105,2237,1
106,2238,1
107,2247,1
108,2250,1
109,2316,1
110,2330,1
111,2362,1
112,2369,1
113,2373,1
114,2457,1
115,2476,1
116,2477,1
117,2487,1
118,2490,1
119,2498,1
120,2504,1
121,2521,1
122,2527,1
123,2536,1
124,2576,1
125,2583,1
126,2635,1
127,2660,1
128,2730,1
129,2756,1
130,2761,1
131,2784,1
132,2800,1
133,2802,1
134,2805,1
135,2808,1
136,2831,1
137,3,1
138,5,1
139,8,1
140,14,1
141,20,1
142,31,1
143,44,1
144,48,1
145,65,1
146,73,1
147,80,1
148,84,1
149,87,1
150,90,1
151,91,1
152,92,1
153,102,1
154,106,1
155,114,1
156,117,1
157,126,1
158,146,1
159,148,1
160,150,1
161,163,1
162,175,1
163,177,1
164,188,1
165,193,1
166,199,1
167,213,1
168,220,1
169,228,1
170,245,1
171,266,1
172,269,1
173,272,1
174,303,1
175,309,1
176,316,1
177,322,1
178,324,1
179,326,1
180,341,1
181,366,1
182,375,1
183,381,1
184,392,1
185,395,1
186,396,1
187,408,1
188,410,1
189,423,1
190,450,1
191,477,1
192,484,1
193,488,1
194,489,1
195,490,1
196,495,1
197,496,1
198,497,1
199,506,1
200,508,1
201,522,1
202,530,1
203,533,1
204,539,1
205,542,1
206,552,1
207,559,1
208,562,1
209,563,1
